[05-Sep-2017 18:39:19 UTC] PHP  50. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  51. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  52. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  53. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  54. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  55. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  56. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  57. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  58. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  59. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  60. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  61. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  62. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  63. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  64. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  65. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  66. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  67. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  68. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  69. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  70. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  71. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  72. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  73. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  74. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  75. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  76. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  77. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  78. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  79. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  80. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  81. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  82. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  83. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  84. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  85. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  86. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  87. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  88. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  89. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  90. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  91. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  92. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  93. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  94. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  95. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  96. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  97. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  98. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  99. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 100. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 101. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 102. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 103. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 104. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 105. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 106. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 107. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 108. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 109. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 110. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 111. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 112. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 113. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 114. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 115. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 116. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 117. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 118. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 119. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 120. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 121. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 122. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 123. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 124. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 125. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 126. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 127. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 128. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP 129. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
